user_id	credit_card_number
100	2.56324E+15
101	1.35632E+15
102	6.84323E+15
103	3.18795E+15
104	3.56547E+15
105	6.53214E+15
106	1.35468E+15
107	6563208897157777
108	4663094035635610573
109	30376196924946
110	4564148144006084
111	3545947822861520
112	4485213724861872
113	4489883030443791
114	3526993787719801
115	4439140282555
116	3505053762330275
117	343474038623370
118	2321833242527473
119	3573888357472173
120	180004897488296
121	373925956588351
122	30511117811117
123	6011472395699338
124	4031263578523655
125	3552291683364609
126	4694490879109987
